"ID"	"Name"	"Designator"	"Footprint"	"Quantity"	"Manufacturer Part"	"Manufacturer"	"Supplier"	"Supplier Part"
"63"	"54K9"	"R13,R16"	"0805"	"2"				
"64"	"1K8"	"R31,R30,R47"	"0805"	"3"				
"65"	"120R"	"R34"	"0805"	"1"				
"66"	"4K7"	"R32"	"0805"	"1"				
"67"	"3K3"	"R33,R25,R48"	"0805"	"3"				
"68"	"13K"	"R23"	"0805"	"1"				
"69"	"36K"	"R22"	"0805"	"1"				
"70"	"6K2"	"R29,R19"	"0805"	"2"				
"71"	"16K"	"R21"	"0805"	"1"				
"72"	"3K6"	"R28,R26"	"0805"	"2"				
"73"	"6K8"	"R20"	"0805"	"1"				
"74"	"2K2"	"R27"	"0805"	"1"				
"75"	"1K2"	"R18"	"0805"	"1"				
"76"	"47K"	"R49"	"0805"	"1"				
"77"	"75R"	"R52,R53,R50,R51"	"0805"	"4"				
"78"	"SN74AHCT1G08DBVR"	"U10"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"1"	"SN74AHCT1G08DBVR"			
